Title, Date, Media, Dimensions, Client, Collaboration, Description
Bloc Magasin, ●2024, Identity, , Bloc Magasin GmbH, , Identity for Bloc Magasin
[Ausbruch; https://ausbruch.ch], ●2024, Website; Identity, , Ausbruch Gefängnistheater, , New Website and Identity for the Ausbruch theatre project
Diplome, ●2023, Identity, , [Zurich University of the Arts; https://zhdk.ch], Joël Roth; Alissa Knopp; Tim Frei, Visual Identity and Media for the annual diploma exhibition at ZHdK
Okvsho goes Montreux, 06.2024, Flyer, 16:9; 5:4, [Current Moves; https://linktr.ee/currentmove], , Digital flyers for Okvsho's concert and pool party at the Montreux Jazz Festival 2024
Future Hits 8000, 05.2024, Record Cover, 30×30cm, Futur8000, , Record Cover for Futur8000's first megacompilation
Von Glutensträngen und anderen Brüchen, 02.2024, Editorial, DIN A4; 158 Pages, Margaretha Jüngling, Margaretha Jüngling, Documentation of Margaretha's Work for the Kochwerkstatt0.1 at ZHdK
After Hours, 09.2022, Editorial, Broadsheet; 36 Pages, , , Research project about the early rave culture in Zürich and internet forums
Auto. *Ich fahre; also bin ich.*, 01.2024, Editorial, 17×24cm; 290 Pages, , Joël Roth; Elia Geiger, Research project about the fetishizing of cars
